id	isCralwed	name	value	state_id
2	1	Kent (DE)	10001	0
3	1	New Castle (DE)	10003	0
4	1	Sussex (DE)	10005	0
7	1	Honolulu (HI)	15003	1
8	1	Hawaii (HI)	15001	1
9	1	Kauai (HI)	15007	1
10	1	Maui (HI)	15009	1
35	2	Culberson (TX)	48109	3
36	1	Crosby (TX)	48107	3
37	1	Hudspeth (TX)	48229	3
38	1	Navarro (TX)	48349	3
39	2	Crockett (TX)	48105	3
40	1	Victoria (TX)	48469	3
41	1	Howard (TX)	48227	3
42	1	Nacogdoches (TX)	48347	3
43	2	Crane (TX)	48103	3
44	1	Van Zandt (TX)	48467	3
45	1	Houston (TX)	48225	3
46	2	Motley (TX)	48345	3
47	2	Cottle (TX)	48101	3
48	1	Val Verde (TX)	48465	3
49	1	Hopkins (TX)	48223	3
50	1	Morris (TX)	48343	3
51	1	Uvalde (TX)	48463	3
52	1	Hood (TX)	48221	3
53	1	Moore (TX)	48341	3
54	1	Upton (TX)	48461	3
55	1	Hockley (TX)	48219	3
56	1	Hill (TX)	48217	3
57	1	Montgomery (TX)	48339	3
58	1	Upshur (TX)	48459	3
59	1	Hidalgo (TX)	48215	3
60	1	Montague (TX)	48337	3
61	1	Tyler (TX)	48457	3
62	1	Henderson (TX)	48213	3
63	1	Mitchell (TX)	48335	3
64	2	Trinity (TX)	48455	3
65	2	Hemphill (TX)	48211	3
66	2	Mills (TX)	48333	3
67	1	Travis (TX)	48453	3
68	1	Milam (TX)	48331	3
69	1	Tom Green (TX)	48451	3
70	1	Hays (TX)	48209	3
71	1	Midland (TX)	48329	3
72	1	Titus (TX)	48449	3
73	1	Haskell (TX)	48207	3
74	2	Menard (TX)	48327	3
75	2	Throckmorton (TX)	48447	3
76	1	Hartley (TX)	48205	3
77	1	Medina (TX)	48325	3
78	1	Terry (TX)	48445	3
79	1	Harrison (TX)	48203	3
80	1	Maverick (TX)	48323	3
81	1	Terrell (TX)	48443	3
82	1	Harris (TX)	48201	3
83	1	Matagorda (TX)	48321	3
84	1	Taylor (TX)	48441	3
85	1	Mason (TX)	48319	3
86	1	Tarrant (TX)	48439	3
87	1	Martin (TX)	48317	3
88	2	Swisher (TX)	48437	3
89	1	Marion (TX)	48315	3
90	1	Sutton (TX)	48435	3
91	1	Madison (TX)	48313	3
92	1	Stonewall (TX)	48433	3
93	2	McMullen (TX)	48311	3
94	2	Sterling (TX)	48431	3
95	1	Stephens (TX)	48429	3
96	1	McCulloch (TX)	48307	3
97	1	Starr (TX)	48427	3
98	1	Lynn (TX)	48305	3
99	1	Somervell (TX)	48425	3
100	1	Lubbock (TX)	48303	3
101	1	Smith (TX)	48423	3
102	2	Loving (TX)	48301	3
103	1	McLennan (TX)	48309	3
104	2	Sherman (TX)	48421	3
105	1	Shackelford (TX)	48417	3
106	1	Scurry (TX)	48415	3
107	2	Schleicher (TX)	48413	3
108	1	San Saba (TX)	48411	3
109	1	Shelby (TX)	48419	3
110	2	Comanche (TX)	48093	3
111	1	Comal (TX)	48091	3
112	1	Coryell (TX)	48099	3
113	1	Cooke (TX)	48097	3
114	2	Concho (TX)	48095	3
115	1	San Jacinto (TX)	48407	3
116	1	San Augustine (TX)	48405	3
117	1	Sabine (TX)	48403	3
118	1	Rusk (TX)	48401	3
119	1	San Patricio (TX)	48409	3
120	1	Coleman (TX)	48083	3
121	2	Coke (TX)	48081	3
122	1	Colorado (TX)	48089	3
123	1	Collingsworth (TX)	48087	3
124	1	Collin (TX)	48085	3
125	2	Chambers (TX)	48071	3
126	1	Hamilton (TX)	48193	3
127	2	Hall (TX)	48191	3
128	1	Cochran (TX)	48079	3
129	2	Clay (TX)	48077	3
130	1	Hardin (TX)	48199	3
131	1	Childress (TX)	48075	3
132	1	Hardeman (TX)	48197	3
133	1	Cherokee (TX)	48073	3
134	2	Hansford (TX)	48195	3
135	2	Zapata (TX)	48505	3
136	1	Young (TX)	48503	3
137	1	Yoakum (TX)	48501	3
138	1	Zavala (TX)	48507	3
139	1	Grayson (TX)	48181	3
140	1	Cameron (TX)	48061	3
141	1	Hale (TX)	48189	3
142	1	Castro (TX)	48069	3
143	1	Guadalupe (TX)	48187	3
144	1	Cass (TX)	48067	3
145	1	Grimes (TX)	48185	3
146	1	Carson (TX)	48065	3
147	1	Gregg (TX)	48183	3
148	1	Camp (TX)	48063	3
149	1	Callahan (TX)	48059	3
150	1	Liberty (TX)	48291	3
151	1	Gillespie (TX)	48171	3
152	1	Calhoun (TX)	48057	3
153	1	Llano (TX)	48299	3
154	1	Gray (TX)	48179	3
155	1	Caldwell (TX)	48055	3
156	1	Live Oak (TX)	48297	3
157	1	Gonzales (TX)	48177	3
158	1	Burnet (TX)	48053	3
159	2	Lipscomb (TX)	48295	3
160	1	Goliad (TX)	48175	3
161	1	Burleson (TX)	48051	3
162	1	Limestone (TX)	48293	3
163	2	Glasscock (TX)	48173	3
164	1	Garza (TX)	48169	3
165	1	Brown (TX)	48049	3
166	1	Lampasas (TX)	48281	3
167	1	Galveston (TX)	48167	3
168	1	Brooks (TX)	48047	3
169	2	Leon (TX)	48289	3
170	1	Gaines (TX)	48165	3
171	2	Briscoe (TX)	48045	3
172	1	Lee (TX)	48287	3
173	1	Frio (TX)	48163	3
174	1	Brewster (TX)	48043	3
175	1	Lavaca (TX)	48285	3
176	1	Freestone (TX)	48161	3
177	1	Brazos (TX)	48041	3
178	1	La Salle (TX)	48283	3
179	1	Brazoria (TX)	48039	3
180	1	Bowie (TX)	48037	3
181	1	Lamb (TX)	48279	3
182	1	Franklin (TX)	48159	3
183	1	Refugio (TX)	48391	3
184	1	Bosque (TX)	48035	3
185	1	Lamar (TX)	48277	3
186	1	Runnels (TX)	48399	3
187	1	Fort Bend (TX)	48157	3
188	2	Borden (TX)	48033	3
189	1	Knox (TX)	48275	3
190	1	Rockwall (TX)	48397	3
191	2	Foard (TX)	48155	3
